Condition,Tone,Speaker,Word,L01,L02,L03,L04,L05,L06,L08,L09,L10,L11,L12
Isol1,Low,YolFem,chew,1,1,1,1,1,1,0,1,1,1,1
Carrier1,Low,YolFem,chew,1,1,1,1,1,1,0,1,0,1,1
Isol3,Low,YolFem,chew,1,0,1,1,0,1,0,0,0,1,1
Isol3,Low,KagMal,chew,1,1,1,1,1,1,0,1,1,1,1
Isol1,Low,KagMal,chew,1,1,0,1,1,1,0,1,1,1,1
Isol1,Low,KagFem,chew,0,1,0,1,1,1,0,1,0,0,0
Isol3,Low,KagFem,chew,1,1,1,1,1,1,0,1,0,0,0
Isol3,Low,YolFem,fall,1,1,1,1,0,1,0,1,1,0,1
Isol1,Low,YolFem,fall,1,1,0,1,1,1,1,0,1,0,1
Isol1,Low,KagMal,fall,1,1,0,0,0,1,0,0,1,1,1
Isol3,Low,KagMal,fall,1,1,0,0,1,1,0,0,0,0,1
Isol1,Low,KagFem,fall,1,1,0,1,1,1,0,0,1,0,1
Carrier1,Low,YolFem,1sg,1,1,1,1,0,1,0,1,1,0,1
Isol3,Low,YolFem,1sg,1,1,1,1,1,1,1,0,1,1,1
Isol1,Low,YolFem,1sg,1,1,1,1,1,1,0,0,1,1,1
Isol3,Low,KagFem,1sg,1,1,1,1,1,1,1,1,1,1,1
Carrier1,Low,KagFem,1sg,1,1,1,1,1,1,0,1,0,0,1
Isol1,Low,KagFem,1sg,1,1,1,1,1,1,0,0,NA,1,1
Isol1,Low,KagMal,1sg,1,1,1,1,1,1,1,0,1,1,1
Carrier1,Low,KagMal,1sg,1,1,1,1,1,1,1,1,0,0,1
Carrier1,Low,KagMal,son,1,1,1,1,1,1,1,1,1,1,1
Isol3,Low,KagMal,son,0,1,1,1,1,1,1,1,1,0,1
Isol3,Low,KagFem,son,1,1,1,1,1,1,0,1,1,0,1
Isol1,Low,KagFem,son,1,1,1,1,1,1,1,1,1,1,1
Carrier1,Low,KagFem,son,1,1,1,1,1,1,1,1,1,1,1
